         q                   u
  0.31854135E+03     -0.13133365E-01
  0.31936926E+03     -0.13206473E-01
  0.32019490E+03     -0.13279526E-01
  0.32101827E+03     -0.13353058E-01
  0.32183937E+03     -0.13427524E-01
  0.32265822E+03     -0.13502694E-01
  0.32347481E+03     -0.13579024E-01
  0.32428914E+03     -0.13655178E-01
  0.32510121E+03     -0.13731241E-01
  0.32591104E+03     -0.13807237E-01
  0.32671862E+03     -0.13883173E-01
  0.32752396E+03     -0.13959051E-01
  0.32832706E+03     -0.14034869E-01
  0.32912792E+03     -0.14110628E-01
  0.32992654E+03     -0.14186326E-01
  0.33072294E+03     -0.14261962E-01
  0.33151711E+03     -0.14337535E-01
  0.33230905E+03     -0.14413044E-01
  0.33309878E+03     -0.14488488E-01
  0.33388628E+03     -0.14564099E-01
  0.33467157E+03     -0.14640980E-01
  0.33545465E+03     -0.14717900E-01
  0.33623551E+03     -0.14794673E-01
  0.33701418E+03     -0.14871683E-01
  0.33779063E+03     -0.14948792E-01
  0.33856489E+03     -0.15025863E-01
  0.33933696E+03     -0.15102871E-01
  0.34010683E+03     -0.15179812E-01
  0.34087451E+03     -0.15256684E-01
  0.34164000E+03     -0.15333486E-01
  0.34240331E+03     -0.15410217E-01
  0.34316444E+03     -0.15488021E-01
  0.34392339E+03     -0.15566937E-01
  0.34468016E+03     -0.15645823E-01
  0.34543476E+03     -0.15724622E-01
  0.34618720E+03     -0.15804504E-01
  0.34693747E+03     -0.15884821E-01
  0.34768558E+03     -0.15964970E-01
  0.34843153E+03     -0.16045027E-01
  0.34917532E+03     -0.16125001E-01
  0.34991696E+03     -0.16206176E-01
  0.35065645E+03     -0.16287435E-01
  0.35139379E+03     -0.16370081E-01
  0.35212899E+03     -0.16452649E-01
  0.35286205E+03     -0.16535152E-01
  0.35359298E+03     -0.16617592E-01
  0.35432177E+03     -0.16700349E-01
  0.35504842E+03     -0.16784692E-01
  0.35577295E+03     -0.16870030E-01
  0.35649536E+03     -0.16955849E-01
  0.35721564E+03     -0.17041561E-01
  0.35793381E+03     -0.17127214E-01
  0.35864986E+03     -0.17212816E-01
  0.35936380E+03     -0.17298368E-01
  0.36007562E+03     -0.17383868E-01
  0.36078535E+03     -0.17469313E-01
  0.36149297E+03     -0.17554703E-01
  0.36219849E+03     -0.17640036E-01
  0.36290191E+03     -0.17725310E-01
  0.36360324E+03     -0.17810523E-01
  0.36430248E+03     -0.17895672E-01
  0.36499963E+03     -0.17981555E-01
  0.36569470E+03     -0.18067715E-01
  0.36638769E+03     -0.18153789E-01
  0.36707859E+03     -0.18241459E-01
  0.36776743E+03     -0.18329620E-01
  0.36845419E+03     -0.18420413E-01
  0.36913889E+03     -0.18511222E-01
  0.36982151E+03     -0.18601912E-01
  0.37050208E+03     -0.18692543E-01
  0.37118059E+03     -0.18783123E-01
  0.37185704E+03     -0.18874655E-01
  0.37253144E+03     -0.18966399E-01
  0.37320378E+03     -0.19058033E-01
  0.37387408E+03     -0.19149605E-01
  0.37454234E+03     -0.19241122E-01
  0.37520856E+03     -0.19332584E-01
  0.37587274E+03     -0.19423986E-01
  0.37653489E+03     -0.19515329E-01
  0.37719500E+03     -0.19606610E-01
  0.37785309E+03     -0.19697825E-01
  0.37850915E+03     -0.19788974E-01
  0.37916319E+03     -0.19880052E-01
  0.37981521E+03     -0.19971060E-01
  0.38046521E+03     -0.20061992E-01
  0.38111321E+03     -0.20152848E-01
  0.38175919E+03     -0.20243625E-01
  0.38240317E+03     -0.20334321E-01
  0.38304515E+03     -0.20424933E-01
  0.38368512E+03     -0.20516077E-01
  0.38432310E+03     -0.20608376E-01
  0.38495908E+03     -0.20700630E-01
  0.38559308E+03     -0.20793197E-01
  0.38622508E+03     -0.20887065E-01
  0.38685510E+03     -0.20980693E-01
  0.38748315E+03     -0.21074196E-01
  0.38810921E+03     -0.21167597E-01
  0.38873330E+03     -0.21260899E-01
  0.38935541E+03     -0.21354101E-01
  0.38997556E+03     -0.21447200E-01
  0.39059374E+03     -0.21540195E-01
  0.39120996E+03     -0.21633084E-01
  0.39182422E+03     -0.21725864E-01
  0.39243652E+03     -0.21818535E-01
  0.39304687E+03     -0.21911093E-01
  0.39365528E+03     -0.22003538E-01
  0.39426173E+03     -0.22095866E-01
  0.39486624E+03     -0.22188077E-01
  0.39546881E+03     -0.22280168E-01
  0.39606944E+03     -0.22372138E-01
  0.39666814E+03     -0.22463985E-01
  0.39726490E+03     -0.22555707E-01
  0.39785974E+03     -0.22647302E-01
  0.39845265E+03     -0.22738769E-01
  0.39904364E+03     -0.22830105E-01
  0.39963272E+03     -0.22921309E-01
  0.40021987E+03     -0.23012380E-01
  0.40080512E+03     -0.23103315E-01
  0.40138845E+03     -0.23194114E-01
  0.40196988E+03     -0.23284773E-01
  0.40254940E+03     -0.23375293E-01
  0.40312703E+03     -0.23465670E-01
  0.40370276E+03     -0.23556493E-01
  0.40427659E+03     -0.23648222E-01
  0.40484853E+03     -0.23739933E-01
  0.40541859E+03     -0.23831528E-01
  0.40598676E+03     -0.23923219E-01
  0.40655305E+03     -0.24016562E-01
  0.40711746E+03     -0.24110479E-01
  0.40768000E+03     -0.24204177E-01
  0.40824066E+03     -0.24297716E-01
  0.40879946E+03     -0.24391105E-01
  0.40935639E+03     -0.24484344E-01
  0.40991146E+03     -0.24577431E-01
  0.41046466E+03     -0.24670546E-01
  0.41101602E+03     -0.24764726E-01
  0.41156551E+03     -0.24859310E-01
  0.41211316E+03     -0.24955673E-01
  0.41265896E+03     -0.25051966E-01
  0.41320292E+03     -0.25148118E-01
  0.41374504E+03     -0.25244120E-01
  0.41428531E+03     -0.25339971E-01
  0.41482376E+03     -0.25435668E-01
  0.41536037E+03     -0.25531209E-01
  0.41589515E+03     -0.25626593E-01
  0.41642811E+03     -0.25722635E-01
  0.41695925E+03     -0.25819360E-01
  0.41748857E+03     -0.25916563E-01
  0.41801607E+03     -0.26013624E-01
  0.41854176E+03     -0.26110517E-01
  0.41906564E+03     -0.26207252E-01
  0.41958771E+03     -0.26303828E-01
  0.42010798E+03     -0.26400788E-01
  0.42062645E+03     -0.26497955E-01
  0.42114312E+03     -0.26594954E-01
  0.42165800E+03     -0.26691791E-01
  0.42217109E+03     -0.26790576E-01
  0.42268239E+03     -0.26890204E-01
  0.42319191E+03     -0.26990663E-01
  0.42369964E+03     -0.27091366E-01
  0.42420560E+03     -0.27191966E-01
  0.42470978E+03     -0.27293399E-01
  0.42521218E+03     -0.27394653E-01
  0.42571282E+03     -0.27495736E-01
  0.42621169E+03     -0.27596649E-01
  0.42670881E+03     -0.27697391E-01
  0.42720416E+03     -0.27797958E-01
  0.42769775E+03     -0.27898351E-01
  0.42818959E+03     -0.27998566E-01
  0.42867968E+03     -0.28098601E-01
