     id                xc                yc                zc                ra                vx                vy                vz     ct
     89   -7.14285714e-02   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    2.31253136e-02    6.83987451e-03    2.70042493e-02     -1
     90   -2.38095238e-02   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    2.57854860e-02    4.86124252e-02    2.26044876e-02     -1
     91    2.38095238e-02   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    3.81835061e-04    3.16953643e-02    3.41245196e-02     -1
     92    7.14285714e-02   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    9.28066438e-03    1.31947899e-02    4.93523925e-02     -1
     93    1.19047619e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    4.08960998e-02    2.28561192e-02    9.16795412e-03     -1
     94    1.66666667e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    4.02073376e-03    2.60190263e-03    1.88301279e-02     -1
     95    2.14285714e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    3.35087138e-02    3.83244100e-02    2.69567713e-02     -1
     96    3.09523810e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    4.32507159e-02    1.42316725e-02    2.62346237e-02     -1
     97    3.57142857e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    4.40533444e-02    3.04726502e-02    1.30172622e-02     -1
     98    4.04761905e-01   -2.69993951e-01   -4.52380952e-01    2.38095238e-02    2.03216249e-02    4.65281881e-03    3.79855187e-02     -1
     99   -4.76190476e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    2.48831870e-02    2.77781324e-02    4.48253932e-02     -1
    100   -4.28571429e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    1.88743626e-03    3.56361841e-03    4.34378184e-02     -1
    101   -3.80952381e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    2.44919239e-02    3.94545347e-03    2.51331827e-02     -1
    102   -3.33333333e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    8.61644340e-03    1.32261179e-02    3.83279726e-02     -1
    103   -2.85714286e-01   -2.28754647e-01   -4.52380952e-01    2.38095238e-02    7.96883593e-03    4.12221768e-03    1.11840917e-02     -1
