     id                xc                yc                zc                ra                vx                vy                vz     ct
     24    9.86332874e-01    4.42124461e-01    5.00000000e-02    4.94000000e-02   -8.75467167e-04   -1.42087521e-02    0.00000000e+00     -1
     25    1.00830781e+00    1.08060570e+00    5.00000000e-02    4.94000000e-02   -1.76169993e-02    1.90531085e-02    0.00000000e+00     -1
     26   -1.63311796e-01    3.38593431e-01    5.00000000e-02    4.94000000e-02    5.97982420e-03   -1.09470294e-02    0.00000000e+00     -1
     27   -4.62101103e-01    6.86405035e-01    5.00000000e-02    4.94000000e-02   -2.64832104e-03   -1.36946687e-02    0.00000000e+00     -1
     28   -5.37036787e-01   -7.49920537e-01    5.00000000e-02    4.94000000e-02    2.82218777e-03   -4.17493597e-03    0.00000000e+00     -1
     29    9.76329441e-01   -7.92942993e-01    5.00000000e-02    4.94000000e-02   -1.98414406e-02   -1.86962330e-02    0.00000000e+00     -1
     30   -2.80348005e-01    4.42668040e-01    5.00000000e-02    4.94000000e-02    1.24885441e-02   -6.56682292e-03    0.00000000e+00     -1
     31   -6.42572307e-01   -4.94015131e-01    5.00000000e-02    4.94000000e-02    4.22442503e-03   -1.27793632e-02    0.00000000e+00     -1
     32    5.57156438e-01   -8.34264500e-01    5.00000000e-02    4.94000000e-02   -1.87262548e-02    1.46735194e-02    0.00000000e+00     -1
     33    5.17521115e-02   -1.07392977e+00    5.00000000e-02    4.94000000e-02   -1.61894672e-02   -1.29968814e-02    0.00000000e+00     -1
     34    5.58370588e-01    7.14715324e-01    5.00000000e-02    4.94000000e-02    7.82818265e-03    2.33702569e-02    0.00000000e+00     -1
     35    6.23363621e-01    3.34700029e-01    5.00000000e-02    4.94000000e-02   -2.03259761e-02   -1.82548794e-02    0.00000000e+00     -1
     36   -7.08827793e-01   -1.03222465e+00    5.00000000e-02    4.94000000e-02   -1.92897633e-03    1.59838640e-02    0.00000000e+00     -1
     37    6.13394005e-01    1.75964708e-01    5.00000000e-02    4.94000000e-02   -2.24030591e-02   -1.71096436e-02    0.00000000e+00     -1
     38   -8.98875658e-01    9.35893547e-01    5.00000000e-02    4.94000000e-02    2.48899500e-02   -2.22971211e-02    0.00000000e+00     -1
     39   -1.02641088e+00    8.89295676e-01    5.00000000e-02    4.94000000e-02   -2.47919196e-02    2.11534564e-02    0.00000000e+00     -1
     40   -7.67106562e-01    2.25341230e-01    5.00000000e-02    4.94000000e-02   -1.68434250e-02   -5.41548847e-03    0.00000000e+00     -1
     41    7.67268367e-01    9.91264026e-01    5.00000000e-02    4.94000000e-02   -7.04523156e-03    2.62425112e-03    0.00000000e+00     -1
     42   -1.13817970e-01    1.90631986e-01    5.00000000e-02    4.94000000e-02    9.36937173e-03   -2.00179968e-02    0.00000000e+00     -1
     43    1.18134831e+00   -4.69691641e-01    5.00000000e-02    4.94000000e-02    3.84855563e-03    1.88806889e-02    0.00000000e+00     -1
     44    3.09383835e-01    5.94742311e-01    5.00000000e-02    4.94000000e-02   -2.32289547e-02    1.23901433e-02    0.00000000e+00     -1
     45    1.02090372e+00    7.99772501e-01    5.00000000e-02    4.94000000e-02    1.86635671e-02    1.65518770e-02    0.00000000e+00     -1
     46    5.85146897e-01    1.15064191e+00    5.00000000e-02    4.94000000e-02    2.01683170e-02    2.41797869e-02    0.00000000e+00     -1
     47   -6.57955427e-03    4.00512803e-01    5.00000000e-02    4.94000000e-02   -1.68015998e-02    1.65005917e-02    0.00000000e+00     -1
     48   -6.04694116e-01    3.59296767e-01    5.00000000e-02    4.94000000e-02    6.47398517e-03   -1.35431510e-02    0.00000000e+00     -1
     49   -4.39518870e-01    4.81487915e-01    5.00000000e-02    4.94000000e-02   -8.56114783e-03   -1.34286024e-02    0.00000000e+00     -1
     50    3.19373264e-01   -1.02201367e+00    5.00000000e-02    4.94000000e-02   -1.38171793e-02    7.55660412e-03    0.00000000e+00     -1
     51   -9.28126668e-01    5.26244583e-01    5.00000000e-02    4.94000000e-02   -1.42582854e-03    4.62699594e-03    0.00000000e+00     -1
     52   -1.17797861e-01    1.06636343e+00    5.00000000e-02    4.94000000e-02   -8.18244372e-03    1.73842218e-02    0.00000000e+00     -1
     53   -1.19224450e+00   -1.57168090e-01    5.00000000e-02    4.94000000e-02   -7.75285225e-03    4.92406498e-03    0.00000000e+00     -1
     54   -6.38659909e-01    7.99783906e-01    5.00000000e-02    4.94000000e-02    8.77379902e-03   -8.52486014e-04    0.00000000e+00     -1
     55   -4.68106360e-01   -4.33540246e-02    5.00000000e-02    4.94000000e-02    1.06043630e-02   -1.58722106e-02    0.00000000e+00     -1
     56   -1.10192567e+00    2.92374771e-01    5.00000000e-02    4.94000000e-02   -4.30081302e-03    9.79918956e-03    0.00000000e+00     -1
     57    3.30336367e-01    4.17447591e-01    5.00000000e-02    4.94000000e-02   -7.64420635e-03   -1.57688766e-02    0.00000000e+00     -1
     58    3.05178927e-01    2.61854069e-01    5.00000000e-02    4.94000000e-02    1.15364673e-02   -8.58127809e-03    0.00000000e+00     -1
     59   -7.14689342e-01    5.77052259e-01    5.00000000e-02    4.94000000e-02    2.10457179e-02    9.23782684e-03    0.00000000e+00     -1
     60   -9.89655293e-01    7.78583346e-02    5.00000000e-02    4.94000000e-02   -1.19751529e-02    1.88691964e-02    0.00000000e+00     -1
     61   -3.32157822e-01   -9.32938483e-01    5.00000000e-02    4.94000000e-02    3.83452579e-03    4.66057275e-03    0.00000000e+00     -1
     62   -5.06933339e-01    3.99735818e-01    5.00000000e-02    4.94000000e-02    1.37883621e-02   -1.05810294e-02    0.00000000e+00     -1
     63   -7.44597643e-01   -4.08859012e-01    5.00000000e-02    4.94000000e-02    2.42181601e-02   -2.48210713e-02    0.00000000e+00     -1
     64   -4.04450219e-01    7.85738725e-01    5.00000000e-02    4.94000000e-02   -1.55899479e-02   -3.17515015e-03    0.00000000e+00     -1
     65    4.77780967e-01    6.35691444e-01    5.00000000e-02    4.94000000e-02   -1.89428419e-02    9.28928958e-03    0.00000000e+00     -1
     66   -7.11484281e-01    8.68601094e-01    5.00000000e-02    4.94000000e-02    1.46828420e-02    2.40210249e-03    0.00000000e+00     -1
     67    9.71837931e-01   -4.86507714e-01    5.00000000e-02    4.94000000e-02    2.04821479e-02    1.86989484e-02    0.00000000e+00     -1
     68    1.82878915e-01   -4.45457641e-03    5.00000000e-02    4.94000000e-02   -1.68621628e-02   -1.13044416e-02    0.00000000e+00     -1
     69   -1.82428273e-02    8.74989505e-01    5.00000000e-02    4.94000000e-02   -1.81689245e-03    1.74471081e-02    0.00000000e+00     -1
     70   -1.81878766e-02    2.47461183e-01    5.00000000e-02    4.94000000e-02    1.69066801e-02    1.12125994e-02    0.00000000e+00     -1
     71   -6.67282699e-01   -7.72301977e-01    5.00000000e-02    4.94000000e-02   -7.37258816e-05   -1.89370608e-02    0.00000000e+00     -1
